sentence,sector,company,manual_label
The Company values the feedback it receives from the local community and takes the concerns of neighbours seriously.,Manufacturing,TataSteel,Vague
"We deployed our patented Radiflux Radiant Baffles for an IT client, leading to 40% energy savings.",IT,Infosys,Concrete
"The details of such remuneration are as below: (H crore) Year ended Year ended March 31, 2024 March 31, 2023 (a) Short-term employee benefits 31.06 32.88 (b) Post-employment benefits 9.42 4.88 (c) Other long-term employee benefits 0.11 0.06 40.59 37.82 F219 117th Year Integrated Report & Annual Accounts 2023-24 NOTES forming part of the consolidated financial statements 31.",Manufacturing,TataSteel,Concrete
"The emissions are based on disposal mechanisms (e.g., recycling, reuse, landfill) for different categories of waste (plastic, metal, e-waste, batteries, food waste, garden waste etc.,) and have been computed based on emission factors from DEFRA 2023.",IT,TCS,Concrete
"In FY2023-24, the Company’s Central Finance platform facilitated financial closure across Tata Steel Group Companies in India and South-East Asia, streamlining reporting, enabling planning scenarios and reducing compliance risks across the group.",Manufacturing,TataSteel,Concrete
Business Responsibility & Sustainability Report 135 PRINCIPLE 2 : Businesses should provide goods and services in a manner that is sustainable and safe Essential Indicators 1.,IT,TCS,Concrete
"Provide details related to waste management by the entity, in the following format: Tata Steel Standalone Tata Steel Consolidated Parameter FY2023-24 FY2022-23 FY2023-24 FY2022-23 Total Waste generated (in metric tonnes) Plastic waste (A) 2,391 1,967 2,993 2,679 E-waste (B) 260 103 779 643 Bio-medical waste (C) 23 63 23 64 Construction and demolition waste (D) 3,061 7,401 66,433 74,293 Battery waste (E) 264 264 293 372 Radioactive waste (F)* - - - - Other Hazardous waste.",Manufacturing,TataSteel,Concrete
"CLIMATE ACTION We supported climate action through plantation of 9,500 saplings across three city forest sites in Maharashtra, covering 28,500 sq. ft., water restoration, and decentralised solar energy solutions in parts of PARTNERSHIPS FOR THE GOALS Maharashtra, Madhya Pradesh, Andhra Pradesh, and the Northeast.",Banking,HDFC,Concrete
"T he Hon’ble Supreme Court pronounced its judgement in the Common Cause case on August 2, 2017 wherein it directed that compensation equivalent to the price of mineral extracted in excess of environment clearance or without forest clearance from the forest land be paid.",Manufacturing,TataSteel,Concrete
"In consultation area, with a capacity of 10 million litres. manufacture a sulphur-rich nutrient with stakeholders and experts, the In Meramandali, a 9.5-acre pond was supplement branded ‘Dhurvi Gold’.",Manufacturing,TataSteel,Concrete
